Age,MTCO
53731,-1.5
53843,0.9
54061,1.2
54391,1.5
54835,1.7
55364,1.7
55864,1.5
56296,1.2
56997,2
57230,1.9
57358,1.6
57762,-1.6
58005,-2.6
58341,-0.7
58629,-2.6
58806,-2.3
59165,1
59478,1
59791,0.6
60055,1.2
60056,0.6
60152,0.5
60230,1.2
60341,1.8
60461,2.7
60731,1.8
61091,1.9
61331,0.8
61721,1.9
62004,1.9
62368,-1.1
62691,-1.8
63176,1.7
63660,0.9
63822,1.3
64154,0.9
64283,2.7
64412,-0.9
64594,-1.4
64824,-1.8
65054,-1.9
65226,-1.4
65456,-1.8
65685,-1.7
65915,-1.5
66245,-3.5
66489,-1.6
66718,3.7
66948,1.7
67120,-1.6
67465,1.4
67780,-0.5
68024,-5.9
68254,-9.6
68412,-10.1
68648,-9.8
68945,0.9
69241,-1.4
69543,-1.9
69779,-0.5
70116,-1
70250,-1.2
70478,-2.2
70674,-0.7
70870,-1.7
71066,-2.1
71287,-2
71434,-2
71630,-1.9
71826,0.4
72022,3.2
72283,1.4
72593,2.8
72894,-3.6
73229,-1.3
73555,-1.8
73882,2.7
74209,2.4
74535,2.9
74862,2.4
75189,1.1
75332,0.5
76143,1.4
76570,1.8
76804,-1.4
77038,-1.5
77185,-1.9
77302,-2.6
77490,-2.6
77595,-2.3
77694,-0.6
77799,-1.2
77904,-2.3
78201,-2.4
78306,-1.2
78550,1.9
78816,1.2
79082,-2.7
79348,-2.2
79462,0.5
79501,-2.5
79561,2.3
79632,-2.8
79739,0
79954,2.3
80209,-1.7
80316,-2.8
80626,-2.8
81007,6.9
81175,-1.2
81559,-2.1
82215,-1.4
82412,-0.9
82517,1.9
82565,-2.6
82584,-2.5
82590,-1.5
82601,-1
82613,-1.1
82618,-1.4
82733,-2.6
82907,-2.5
83081,-2.7
83124,-2.7
83505,-2.5
84141,-2.7
84545,-3.7
84950,-2.6
85393,-3.6
85754,-3.7
86223,-3.6
86861,-4.6
87539,-4
87724,-4.6
87914,-4
87984,-2.7
88076,-2.9
88168,0.3
88215,0.5
88261,0
88307,-1
88353,0.9
88399,-0.1
88446,0.5
88492,-0.6
88538,0.6
88599,-1.2
88621,-0.2
88651,0.7
88739,0.5
88798,-0.2
88827,-2.8
88856,2.4
88915,1.6
88974,0.3
89047,-0.9
89099,0.7
89142,-2
89171,-2.1
89200,-3.1
89233,-0.4
89268,0.1
89324,-1.1
89388,-1.4
89431,-2
89446,-1.8
89478,-12.1
89532,-1.4
89600,1.3
89668,1
89737,-3
89814,-2.9
89882,-1.1
89916,-0.4
89950,-12.3
90019,-0.4
90087,-0.9
90155,0.8
90245,-2.7
90279,-3
90339,-3.3
90411,2.6
90480,-2.3
90548,-3.1
90616,1.5
90651,-3
90719,-2
90830,1
90890,-2.6
90958,-3
91154,-3
91698,-3
92127,-3.1
92556,-1.1
92950,1.6
93316,-2
93365,0.8
93629,1.3
93635,2.2
94124,2.2
94702,1.6
95177,1.4
95816,2.1
95969,-0.4
96050,-0.7
96199,2.2
96712,-3
97178,-3.1
97876,-3.1
98068,-2.8
98610,-3.1
99111,-3
99291,-3.5
99485,-1.1
99554,-3.2
99632,-3
99664,-3.6
99762,-3.4
100417,-2.9
100794,-5.5
100897,-5.5
100919,-4.8
100968,-2.7
101067,-4.6
101233,-4.8
101340,-5
101434,-4.4
101439,-3.9
101444,-5.5
101449,-5.6
101454,-5.5
101459,-5.5
101464,-4.6
101469,-4.8
101474,-4.8
101479,-5.8
101484,-5
101489,-5.9
101569,-5
101574,-5.4
101579,-4.8
101584,-4.5
101589,-5.6
101594,-5
101599,-5
101604,-5.9
101609,-4.8
101614,-4.7
101619,-4.7
101624,-5.6
101629,-4.8
101634,-5
101639,-4.6
101644,-4.5
101649,-4.7
101654,-4.8
101659,-4.8
101664,-4.4
101669,-4.8
101694,-4
102010,-1.8
102240,-5.8
102541,-3.3
102554,-6.2
102569,-6
102723,-5.7
103024,-6.4
103274,-2.5
103516,-5
103703,-0.7
103864,0.9
104052,-1
104314,-0.6
104672,-1.8
105020,-4.3
105570,-3.8
105572,-4.8
105745,-4.5
106314,-4
106721,-5.8
106849,-1.1
106849,1.3
107377,0.9
107544,0.5
107579,1.7
107673,1.4
107805,-0.4
107824,1.3
107906,1.3
107988,0
108039,1.1
108039,1.1
108127,-1.3
108148,-2.5
108148,-3.2
108166,-2.3
108425,-2.4
108425,-0.8
108425,-1.8
108425,-2.4
108440,1.4
108454,-5.5
108468,-1
108491,1.4
108491,-1.8
108543,-6.3
108566,-2.6
108610,-1.9
108677,0.5
108757,1.5
108824,-2.2
108824,-0.6
108972,-0.5
109025,1.2
109041,5
109052,-4.5
109052,0.9
109070,-2.6
109105,0.1
109116,-2.9
109144,-1.8
109159,2
109161,1.6
109172,6.1
109174,-3.8
109228,0.2
109237,1.2
109266,1.3
109267,0.1
109274,-2.6
109308,0.5
109328,-2.5
109368,-2.2
109412,-0.6
109412,-1.9
109412,-2.1
109421,-3.3
109559,-0.5
109807,0.8
110208,-3.2
110433,-2.6
110434,-0.4
110467,-3.5
110527,2.2
110717,-3
111135,1.7
111135,0.6
111650,1.3
111857,-2.5
112152,-2.6
112324,-3.3
112613,-2.2
112613,-0.9
112697,-3
112967,-2.4
113086,-2.1
113411,-2.3
113431,-2.2
113652,-3.1
113704,-1.9
113937,-4.8
114225,0.1
114923,-3
115803,4.5
115803,3.1
116150,-5
116510,3.3
116724,1.6
117072,-1.2
117530,-5
117788,3.9
118474,-0.3
119203,-4.2
119404,3.2
119417,4.3
119490,2.6
119749,3.7
119825,4.6
120055,3.7
120454,2.4
120760,-4.7
120897,-4.3
121524,-5.2
121524,0.6
121524,-4.3
121621,-4.5
121906,-3.9
122043,-5.8
122562,4.3
122894,-4.3
123066,-5.7
123231,4.6
123307,3.2
123428,4.7
123513,2.3
123666,4.6
123770,-2.1
123846,-0.2
124069,-3.7
124103,4.8
124194,-5.2
124214,4.4
124278,5.1
124286,4.5
124327,-5.4
124336,4.9
124385,-2.5
124418,-5.5
124450,3.7
124517,4.9
124856,5.3
125039,-0.1
125114,3.7
125279,1.8
125357,5.2
125542,-3.2
125835,3.2
