Age,Del 18O
8140,-35.19
8160,-35.5
8180,-35.58
8200,-36.11
8220,-36.5
8240,-36.19
8260,-35.18
8280,-34.83
8300,-34.52
8320,-34.85
8340,-34.4
8360,-34.81
8380,-34.91
8400,-34.97
8420,-34.95
8440,-34.3
8460,-35.04
8480,-34.31
8500,-35.12
8520,-34.65
8540,-34.92
8560,-34.47
8580,-34.47
8600,-34.84
8620,-34.48
8640,-34.36
8660,-35.12
8680,-34.57
8700,-34.47
8720,-34.89
8740,-34.07
8760,-34.61
8780,-34.51
8800,-34.34
8820,-34.36
8840,-34.86
8860,-34.81
8880,-34.27
8900,-33.91
8920,-34.03
8940,-34.46
8960,-34.74
8980,-34.7
9000,-35.02
9020,-34.79
9040,-34.19
9060,-34.66
9080,-34.47
9100,-34.21
9120,-34.68
9140,-34.79
9160,-35.06
9180,-34.56
9200,-34.62
9220,-35.61
9240,-34.82
9260,-34.61
9280,-35.05
9300,-34.09
9320,-33.97
9340,-34.36
9360,-34.08
9380,-35.13
9400,-34.36
9420,-34.65
9440,-35.71
9460,-34.84
9480,-35.08
9500,-35.47
9520,-34.64
9540,-35.12
9560,-34.6
9580,-34.39
9600,-34.33
9620,-34.49
9640,-34.45
9660,-35.14
9680,-34.36
9700,-34.27
9720,-34.29
9740,-35.23
9760,-34.71
9780,-33.98
9800,-35
9820,-35.3
9840,-35.06
9860,-35.07
9880,-35.06
9900,-33.78
9920,-35.64
9940,-34.51
9960,-35
9980,-34.76
10000,-35.3
10020,-34.41
10040,-34.84
10060,-35.95
10080,-35.55
10100,-35.69
10120,-34.86
10140,-34.59
10160,-35.15
10180,-35.57
10200,-35.46
10220,-35.32
10240,-34.99
10260,-35.7
10280,-35.1
10300,-35.93
10320,-36.09
10340,-36.13
10360,-35.82
10380,-35.89
10400,-35.87
10420,-35
10440,-35.94
10460,-34.95
10480,-35.87
10500,-35.91
10520,-35.66
10540,-35.53
10560,-35.73
10580,-35.92
10600,-35.79
10620,-35.65
10640,-35.79
10660,-36.41
10680,-35.55
10700,-36.21
10720,-36.49
10740,-35.5
10760,-36.21
10780,-35.53
10800,-36.15
10820,-36.1
10840,-36.04
10860,-36.56
10880,-37.13
10900,-36.64
10920,-36.74
10940,-36.57
10960,-36.57
10980,-35.68
11000,-36.5
11020,-36.83
11040,-36.13
11060,-36.62
11080,-36.87
11100,-36.45
11120,-36.56
11140,-37.07
11160,-36.76
11180,-36.27
11200,-35.67
11220,-36.33
11240,-37.21
11260,-36.46
11280,-36.33
11300,-36.77
11320,-36.4
11340,-38.24
11360,-37.59
11380,-37.9
11400,-37.99
11420,-36.54
11440,-36.84
11460,-36.98
11480,-36.2
11500,-36.77
11520,-36.31
11540,-36.3
11560,-36.39
11580,-36.36
11600,-36.04
11620,-38.29
11640,-38.5
11660,-41.01
11680,-39.57
11700,-39.84
11720,-38.16
11740,-39.91
11760,-40.63
11780,-39.34
11800,-39.31
11820,-39.58
11840,-41.23
11860,-40.78
11880,-40.39
11900,-40.01
11920,-39.17
11940,-39.37
11960,-39.18
11980,-40.13
12000,-38.99
12020,-37.73
12040,-38.86
12060,-40.89
12080,-39.81
12100,-40.92
12120,-39.35
12140,-41.03
12160,-38.27
12180,-41.29
12200,-40.07
12220,-40.15
12240,-39.36
12260,-40.56
12280,-40.02
12300,-38.43
12320,-38.98
12340,-41.35
12360,-40.77
12380,-40.46
12400,-38.81
12420,-39.46
12440,-39.77
12460,-41.2
12480,-40.94
12500,-40.63
12520,-39.33
12540,-40.71
12560,-40.93
12580,-39.64
12600,-41.38
12620,-40.61
12640,-41.82
12660,-40.85
12680,-40.64
12700,-40.9
12720,-39.7
12740,-38.83
12760,-39.03
12780,-40.57
12800,-40.21
12820,-39.86
12840,-39.36
12860,-39.63
12880,-39.79
12900,-38.51
12920,-38.27
12940,-38.38
12960,-37.39
12980,-38.78
13000,-38.27
13020,-37.23
13040,-38.79
13060,-38.28
13080,-38.52
13100,-39.28
13120,-40.02
13140,-41.96
13160,-39.25
13180,-38.87
13200,-39.63
13220,-39.38
13240,-39.92
13260,-38.15
13280,-38.72
13300,-37.99
13320,-39.21
13340,-38.14
13360,-37.31
13380,-37.38
13400,-37.8
13420,-37.63
13440,-37.42
13460,-38.91
13480,-37.24
13500,-37.85
13520,-36.9
13540,-37.19
13560,-37.93
13580,-37.04
13600,-37.36
13620,-38.73
13640,-37.84
13660,-37.7
13680,-37.86
13700,-37.79
13720,-37.42
13740,-37.97
13760,-37.35
13780,-37.17
13800,-37.23
13820,-37.46
13840,-37.75
13860,-37.99
13880,-37.45
13900,-38.09
13920,-37.95
13940,-37.48
13960,-37.36
13980,-37.56
14000,-37.89
14020,-40.27
14040,-38.83
14060,-38.79
14080,-39.43
14100,-37.79
14120,-38
14140,-37.12
14160,-37.98
14180,-37.48
14200,-37.14
14220,-37.49
14240,-36.69
14260,-37.25
14280,-36.45
14300,-36.12
14320,-35.26
14340,-36
14360,-36.52
14380,-36.73
14400,-35.7
14420,-35.9
14440,-35.44
14460,-35.85
14480,-35.08
14500,-34.98
14520,-35.31
14540,-35.58
14560,-35.92
14580,-36.18
14600,-36.58
14620,-36.69
14640,-36.5
14660,-38.16
14680,-39.45
14700,-39.89
14720,-39.75
14740,-41.46
14760,-39.54
14780,-38.92
14800,-38.84
14820,-39.76
14840,-40.96
14860,-39.6
14880,-39.15
14900,-38.51
14920,-39.69
14940,-40.55
14960,-39.31
14980,-39.27
15000,-41.1
15020,-39.37
15040,-39.59
15060,-39.27
15080,-36.63
15100,-39.13
15120,-38.33
15140,-38.49
15160,-39
15180,-38.87
15200,-38.77
15220,-40.06
15240,-40.88
15260,-38.75
15280,-38.52
15300,-39.52
15320,-40.69
15340,-40.95
15360,-39.04
15380,-38.62
15400,-39.75
15420,-38.23
15440,-40.12
15460,-41.11
15480,-38.49
15500,-38.67
15520,-40.06
15540,-39.83
15560,-38.48
15580,-39.89
15600,-39.39
15620,-39.72
15640,-41.33
15660,-42.31
15680,-40.76
15700,-41.07
15720,-39.43
15740,-38.61
15760,-38.8
15780,-40.73
15800,-40.66
15820,-42
15840,-41.25
15860,-39.27
15880,-40.85
15900,-41.61
15920,-40.75
15940,-40.77
15960,-41.43
15980,-41.36
16000,-39.01
16020,-40.49
16040,-37.03
16060,-40.13
16080,-40.87
16100,-40.03
16120,-40.44
16140,-40.68
16160,-41.27
16180,-39.81
16200,-38.64
16220,-40.62
16240,-39.59
16260,-40.24
16280,-40.02
16300,-39.59
16320,-40.05
16340,-38.65
16360,-40.39
16380,-40.2
16400,-40.31
16420,-40.53
16440,-38.86
16460,-39.61
16480,-40.21
16500,-41.94
16520,-40.61
16540,-40.92
16560,-41.27
16580,-39.46
16600,-40.8
16620,-39.94
16640,-41.03
16660,-39.9
16680,-41.34
16700,-40.94
16720,-41.56
16740,-41.47
16760,-39.5
16780,-40.82
16800,-39.85
16820,-38.43
16840,-39.76
16860,-39.72
16880,-39.53
16900,-40.74
16920,-40.96
16940,-40.53
16960,-40.35
16980,-41.75
17000,-41.58
17020,-40.66
17040,-40.13
17060,-41.35
17080,-41.35
17100,-40.15
17120,-40.74
17140,-41.51
17160,-40.57
17180,-42.14
17200,-41.06
17220,-40.78
17240,-40.23
17260,-40.45
17280,-39.23
17300,-40.35
17320,-40.28
17340,-40.43
17360,-40.55
17380,-40.33
17400,-39.09
17420,-40.74
17440,-40.08
17460,-40.33
17480,-41.64
17500,-41.31
17520,-39.63
17540,-39.76
17560,-39.83
17580,-40.42
17600,-40.3
17620,-39.94
17640,-39.66
17660,-40
17680,-41.75
17700,-39.34
17720,-40.98
17740,-40.84
17760,-39.98
17780,-40.91
17800,-41.57
17820,-39.98
17840,-41.02
17860,-38.83
17880,-41.3
17900,-39.52
17920,-39.21
17940,-37.96
17960,-40.15
17980,-38.04
18000,-38.37
18020,-39.18
18040,-40.88
18060,-40.01
18080,-39.62
18100,-41.11
18120,-40.82
18140,-39.71
18160,-41.19
18180,-39.76
18200,-39.42
18220,-39.12
18240,-39.13
18260,-39.94
18280,-40.23
18300,-39.56
18320,-40.32
18340,-39.37
18360,-40.09
18380,-39.48
18400,-38.34
18420,-40.39
18440,-39.9
18460,-41.23
18480,-38.92
18500,-40.02
18520,-39.15
18540,-40.23
18560,-39.11
18580,-39.63
18600,-38.58
18620,-40.71
18640,-39.79
18660,-40.87
18680,-37.76
18700,-39.29
18720,-40.14
18740,-41
18760,-38.86
18780,-40.86
18800,-40.87
18820,-39.28
18840,-38.52
18860,-39.49
18880,-38.83
18900,-39.33
18920,-39.43
18940,-39.11
18960,-39.48
18980,-40.47
19000,-40.01
19020,-39.28
19040,-38.49
19060,-39.63
19080,-38.86
19100,-38.44
19120,-39.56
19140,-38.95
19160,-39.68
19180,-39.72
19200,-39.09
19220,-38.56
19240,-37.84
19260,-39.1
19280,-38.89
19300,-38.88
19320,-40.9
19340,-40.47
19360,-39.01
19380,-39.98
19400,-39.96
19420,-41.24
19440,-39.85
19460,-39.2
19480,-40.6
19500,-39.29
19520,-38.59
19540,-40.08
19560,-38.89
19580,-39.36
19600,-38.77
19620,-40.28
19640,-40.49
19660,-40.19
19680,-41.43
19700,-41.12
19720,-39.84
19740,-39.48
19760,-39.68
19780,-40.23
19800,-38.39
19820,-40.11
19840,-39.61
19860,-39.45
19880,-40.91
19900,-40.97
19920,-39.14
19940,-38.73
19960,-39.11
19980,-39.77
20000,-40.38
20020,-40.52
20040,-39.74
20060,-39.06
20080,-39.55
20100,-39.89
20120,-39.55
20140,-41.34
20160,-39.14
20180,-40.77
20200,-38.91
20220,-39.25
20240,-41.04
20260,-41.28
20280,-41.76
20300,-41.81
20320,-39.74
20340,-40.6
20360,-40.81
20380,-41.12
20400,-38.99
20420,-40.93
20440,-38.37
20460,-41.12
20480,-40.9
20500,-39.02
20520,-39.93
20540,-38.57
20560,-38.2
20580,-38.78
20600,-39.16
20620,-38.97
20640,-39.23
20660,-39.67
20680,-39.94
20700,-40.89
20720,-39.3
20740,-40.76
20760,-38.93
20780,-40.39
20800,-39.21
20820,-40.13
20840,-39.82
20860,-38.93
20880,-39.55
20900,-40.85
20920,-41.08
20940,-41.43
20960,-40.99
20980,-40.35
21000,-41.22
21020,-41.26
21040,-39.41
21060,-41.26
21080,-41.26
21100,-42.31
21120,-41.19
21140,-40.94
21160,-40.48
21180,-40.14
21200,-41.08
21220,-41.62
21240,-41.25
21260,-41.55
21280,-41.56
21300,-40.82
21320,-41.64
21340,-41.61
21360,-41.61
21380,-41.88
21400,-41.48
21420,-40.26
21440,-41.6
21460,-41.84
21480,-40.69
21500,-41.99
21520,-40.07
21540,-42.41
21560,-42.14
21580,-40.8
21600,-41.56
21620,-41.04
21640,-42.33
21660,-41.3
21680,-41.26
21700,-40.27
21720,-39.46
21740,-39.99
21760,-40.86
21780,-41.74
21800,-40.93
21820,-40.9
21840,-41.08
21860,-39.47
21880,-41.85
21900,-41.75
21920,-40.15
21940,-40.44
21960,-41.03
21980,-41.47
22000,-40.98
22060,-41.3
22080,-41.02
22100,-40.37
22120,-40.86
22140,-40.33
22160,-40.78
22180,-40.1
22200,-40.14
22220,-40.68
22240,-39.1
22260,-39.56
22280,-40.43
22300,-40.72
22320,-39.96
22340,-41.92
22360,-41.91
22380,-40.93
22400,-40.94
22420,-40.57
22440,-41.33
22460,-41.09
22480,-39.38
22500,-39.46
22520,-39.55
22540,-40.86
22560,-41.13
22580,-40.51
22600,-40.92
22620,-40.86
22640,-40.25
22660,-40.25
22680,-41.72
22700,-40.48
22720,-40.64
22740,-40.55
22760,-41.19
22780,-40.73
22800,-41.18
22820,-40.47
22840,-40.09
22860,-41.02
22880,-41.01
22900,-40.25
22920,-38.99
22940,-38.84
22960,-37.57
22980,-39.9
23000,-39.89
23020,-39.46
23040,-40.09
23060,-40.81
23080,-39.74
23100,-40.9
23120,-40.06
23140,-39.7
23160,-40.17
23180,-40.94
23200,-41.01
23220,-40.09
23240,-39.72
23260,-40.77
23280,-40.82
23300,-39.65
23320,-38.49
23340,-38.73
23360,-37.45
23380,-38.03
23400,-39.5
23420,-38.68
23440,-40.33
23460,-39.4
23480,-41.18
23500,-39.32
23520,-41.39
23540,-41.58
23560,-42.26
23580,-42.05
23600,-40.47
23620,-40.79
23640,-41.59
23660,-42.22
23680,-42.18
23700,-41.54
23720,-40.89
23740,-42.26
23760,-42.26
23780,-42.34
23800,-43.41
23820,-41.33
23840,-40.25
23860,-42.19
23880,-41.19
23900,-42.62
23920,-41.92
23940,-42.45
23960,-41.44
23980,-42.37
24000,-42.54
24020,-42.02
24040,-41.87
24060,-42.23
24080,-43.61
24100,-42.24
24120,-41.01
24140,-42.21
24160,-41.62
24180,-42.27
24200,-42.09
24220,-41.23
24260,-42.58
24280,-42.11
24300,-41.91
24320,-41.12
24340,-41.81
24360,-40.49
24380,-39.23
24400,-41.95
24420,-42.25
24440,-40.47
24460,-40.58
24480,-40.35
24500,-39.21
24520,-39.34
24540,-41.12
24560,-41.25
24580,-41.8
24600,-41.79
24620,-41.73
24640,-41.82
24660,-41.46
24680,-41.72
24700,-42.03
24720,-42.11
24740,-42.32
24760,-41.4
24780,-40.58
24800,-41.94
24820,-42.65
24840,-42.35
24860,-42.88
24880,-43.22
24900,-41.34
24920,-39.68
24940,-41.95
24960,-42.31
24980,-40.32
25000,-38.56
25020,-40.99
25040,-40.34
25060,-40.11
25080,-40.6
25100,-40.66
25120,-40.37
25140,-40.52
25160,-40.7
25180,-41.87
25200,-41.88
25220,-40.89
25240,-43
25260,-40.98
25280,-40.5
25300,-40.54
25320,-42.23
25340,-41.85
25360,-40.57
25380,-41.33
25400,-41.68
25420,-41.27
25440,-41.3
25460,-41.31
25480,-42.47
25500,-40.97
25520,-43.22
